No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
181,CG,23,27,SMA,SMP,Karyawan,Karyawan,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
182,CT,46,30,SD,SD,Wiraswasta,Wiraswasta,11,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
183,CG,39,35,S1,SD,PNS,Petani,15,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
184,CG,44,44,SMP,SMP,t.a,Pengusaha Kayu,27,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
185,CG,29,51,SD,SD,t.a,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
186,CG,33,54,SMP,S1,t.a,Karyawan,16,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
187,CG,27,41,SMP,SMP,t.a,Karyawan,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
188,CG,29,31,S1,S1,Honorer,Honorer,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
189,CG,19,23,SMA,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
190,CG,25,32,SMA,SD,t.a,Penjual Ikan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
191,CG,39,50,SMP,SMA,t.a,Karyawan,20,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
192,CG,21,26,SMA,SMA,t.a,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
193,CG,26,30,SMA,SMA,t.a,Karyawan Transmart,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
194,CG,48,67,SD,SMP,t.a,Pensiunan,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
195,CG,40,36,S1,S1,Karyawan,PNS,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
196,CT,25,20,SMA ,SMP,Penjual Ikan/Udang,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
197,CT,34,33,SMA,S1,Anggota Polri,PNS,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
198,CG,26,32,SD,SD,t.a,Petani,11,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
199,CG,29,31,SMA,SD,Karyawan PT. Arboga ,Karyawan Warkop,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
200,CG,20,23,SMP,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
201,CG,21,28,SMA,SD,Karyawan Roti Maros,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
202,CT,33,32,SMA,SMA,Pengusaha Bengkel,Karyawan Laundry,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
203,CG,27,52,SD,SD,t.a,Supir Angkutan Umum,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
204,CG,20,23,SMP,SMA,t.a,Buruh Harian,4,1,Poligami,Cerai,,,,,
205,CG,30,31,SD,SMP,Karyawan Toko,Buruh Harian,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
206,CG,29,34,SD,SD,Penjual Barang Campuran,Buruh Bangunan,12,1,Mabuk,Cerai,,,,,
